Från Datum Tid (UTC),Till Datum Tid (UTC),Representativt dygn,Nederbördsmängd,Kvalitet
1961-11-12 06:00:01,1961-11-13 06:00:00,1961-11-12,0.2,Y
1961-11-13 06:00:01,1961-11-14 06:00:00,1961-11-13,0.0,Y
1961-11-14 06:00:01,1961-11-15 06:00:00,1961-11-14,0.0,Y
1961-11-15 06:00:01,1961-11-16 06:00:00,1961-11-15,0.0,Y
1961-11-16 06:00:01,1961-11-17 06:00:00,1961-11-16,0.0,Y
1961-11-17 06:00:01,1961-11-18 06:00:00,1961-11-17,0.0,Y
1961-11-18 06:00:01,1961-11-19 06:00:00,1961-11-18,0.0,Y
1961-11-19 06:00:01,1961-11-20 06:00:00,1961-11-19,0.0,Y
1961-11-20 06:00:01,1961-11-21 06:00:00,1961-11-20,0.0,Y
1961-11-21 06:00:01,1961-11-22 06:00:00,1961-11-21,0.0,Y
1961-11-22 06:00:01,1961-11-23 06:00:00,1961-11-22,0.0,Y
1961-11-23 06:00:01,1961-11-24 06:00:00,1961-11-23,6.0,Y
1961-11-24 06:00:01,1961-11-25 06:00:00,1961-11-24,0.0,Y
1961-11-25 06:00:01,1961-11-26 06:00:00,1961-11-25,9.4,Y
1961-11-26 06:00:01,1961-11-27 06:00:00,1961-11-26,0.4,Y
1961-11-27 06:00:01,1961-11-28 06:00:00,1961-11-27,0.0,Y
1961-11-28 06:00:01,1961-11-29 06:00:00,1961-11-28,0.5,Y
1961-11-29 06:00:01,1961-11-30 06:00:00,1961-11-29,7.7,Y
1961-11-30 06:00:01,1961-12-01 06:00:00,1961-11-30,0.9,Y
1961-12-01 06:00:01,1961-12-02 06:00:00,1961-12-01,1.5,Y
1961-12-02 06:00:01,1961-12-03 06:00:00,1961-12-02,0.8,Y
1961-12-03 06:00:01,1961-12-04 06:00:00,1961-12-03,4.7,Y
1961-12-04 06:00:01,1961-12-05 06:00:00,1961-12-04,6.0,Y
1961-12-05 06:00:01,1961-12-06 06:00:00,1961-12-05,5.9,Y
1961-12-06 06:00:01,1961-12-07 06:00:00,1961-12-06,1.2,Y
1961-12-07 06:00:01,1961-12-08 06:00:00,1961-12-07,0.0,Y
1961-12-08 06:00:01,1961-12-09 06:00:00,1961-12-08,1.0,Y
1961-12-09 06:00:01,1961-12-10 06:00:00,1961-12-09,0.0,Y
1961-12-10 06:00:01,1961-12-11 06:00:00,1961-12-10,0.0,Y
