index,Year,Month,Kvalitet,Avg_nederbörd_per_dag,Max_uppmätta_nederbörd
660,1999,1,G,3.67,18.0
661,1999,2,G,1.8,15.0
662,1999,3,G,3.27,12.2
663,1999,4,G,2.78,33.3
664,1999,5,G,2.26,11.6
665,1999,6,G,5.35,28.0
666,1999,7,G,1.27,10.2
667,1999,8,G,1.85,13.8
668,1999,9,G,1.93,10.7
669,1999,10,G,3.37,37.8
670,1999,11,G,0.84,8.0
671,1999,12,G,5.37,24.5
672,2000,1,G,2.57,17.8
673,2000,2,G,4.31,27.0
674,2000,3,G,1.18,8.1
675,2000,4,G,2.71,19.3
676,2000,5,G,2.86,29.1
677,2000,6,G,2.1,13.0
678,2000,7,G,2.23,18.2
679,2000,8,G,2.04,12.4
680,2000,9,G,0.84,11.7
681,2000,10,G,5.5,37.3
682,2000,11,G,5.84,25.5
683,2000,12,G,4.2,17.8
684,2001,1,G,1.64,12.3
685,2001,2,G,1.89,17.3
686,2001,3,G,1.73,12.3
687,2001,4,G,2.64,23.2
688,2001,5,G,0.86,7.7
689,2001,6,G,2.09,26.0
690,2001,7,G,1.98,21.9
691,2001,8,G,2.93,15.2
692,2001,9,G,2.69,18.8
693,2001,10,G,2.4,27.1
694,2001,11,G,1.46,15.0
695,2001,12,G,1.36,9.3
696,2002,1,G,4.98,19.3
697,2002,2,G,3.49,24.6
698,2002,3,G,1.54,8.6
699,2002,4,G,0.92,14.4
700,2002,5,G,2.21,12.6
701,2002,6,G,3.12,19.8
702,2002,7,G,3.25,23.0
703,2002,8,G,0.94,8.6
704,2002,9,G,0.34,5.1
705,2002,10,G,2.58,12.2
706,2002,11,G,2.92,18.3
262,2002,12,G,0.51,4.5
263,2003,1,G,2.27,14.4
264,2003,2,G,1.2,16.4
265,2003,3,G,0.67,8.8
266,2003,4,G,3.19,23.0
267,2003,5,G,2.49,10.8
268,2003,6,G,2.13,18.6
269,2003,7,G,4.61,41.5
270,2003,8,G,1.04,10.4
271,2003,9,G,0.84,6.7
272,2003,10,G,3.27,32.0
273,2003,11,G,2.53,18.0
274,2003,12,G,3.85,24.5
275,2004,1,G,2.11,19.4
276,2004,2,G,1.31,13.8
277,2004,3,G,1.98,15.5
278,2004,4,G,1.18,8.8
279,2004,5,G,0.86,9.6
280,2004,6,G,2.78,14.5
281,2004,7,G,3.15,23.6
282,2004,8,G,4.12,23.1
283,2004,9,G,3.32,36.6
284,2004,10,G,3.69,20.9
285,2004,11,G,2.74,19.7
286,2004,12,G,2.44,19.2
287,2005,1,G,4.07,19.1
288,2005,2,G,1.54,10.1
289,2005,3,G,1.34,11.1
290,2005,4,G,0.84,7.9
291,2005,5,G,1.27,15.6
292,2005,6,G,2.44,27.4
293,2005,7,G,3.44,29.8
294,2005,8,G,2.69,16.1
