Year,Month,Nederbördsmängd,Kvalitet,Avg_nederbörd,Max_uppmätta_nederbörd
1980,12,46.4,G,4.7,46.4
1981,1,20.8,G,1.16,20.8
1981,2,15.5,G,1.5,15.5
1981,3,18.7,G,2.87,18.7
1981,4,10.3,G,0.37,10.3
1981,5,18.6,G,1.82,18.6
1981,6,14.0,G,3.26,14.0
1981,7,16.0,G,2.3,16.0
1981,8,16.7,G,0.78,16.7
1981,9,15.7,G,1.67,15.7
1981,10,28.2,G,4.75,28.2
1981,11,39.5,G,5.63,39.5
1981,12,5.4,G,0.79,5.4
1982,1,14.0,G,1.57,14.0
1982,2,9.8,G,1.06,9.8
1982,3,13.0,G,1.91,13.0
1982,4,10.0,G,0.87,10.0
1982,5,19.9,G,2.6,19.9
1982,6,30.2,G,1.91,30.2
1982,7,17.6,G,0.71,17.6
1982,8,21.0,G,3.56,21.0
1982,9,24.0,G,2.42,24.0
1982,10,24.1,G,2.66,24.1
1982,11,25.1,G,4.01,25.1
1982,12,18.8,G,3.26,18.8
1983,1,11.9,G,2.96,11.9
1983,2,12.2,G,1.11,12.2
1983,3,10.1,G,2.17,10.1
1983,4,21.6,G,2.07,21.6
1983,5,20.2,G,2.69,20.2
1983,6,12.3,G,1.37,12.3
1983,7,35.8,G,2.02,35.8
1983,8,16.5,G,0.69,16.5
1983,9,28.3,G,4.48,28.3
1983,10,13.1,G,2.36,13.1
1983,11,14.1,G,1.47,14.1
1983,12,13.9,G,2.36,13.9
1984,1,19.8,G,3.79,19.8
1984,2,13.9,G,1.14,13.9
1984,3,4.0,G,0.58,4.0
1984,4,7.4,G,0.76,7.4
1984,5,22.3,G,1.94,22.3
1984,6,26.6,G,2.47,26.6
1984,7,16.7,G,1.7,16.7
1984,8,12.2,G,1.65,12.2
1984,9,16.2,Y,3.22,16.2
1984,10,30.8,G,4.78,30.8
1984,11,13.9,G,2.17,13.9
1984,12,21.1,G,2.45,21.1
1985,1,13.9,G,1.54,13.9
1985,2,7.2,G,0.64,7.2
1985,3,10.3,G,1.63,10.3
1985,4,17.3,G,3.7,17.3
1985,5,7.7,G,0.68,7.7
1985,6,19.7,G,3.75,19.7
1985,7,15.3,G,1.44,15.3
1985,8,36.3,G,4.35,36.3
1985,9,27.2,G,4.03,27.2
1985,10,20.2,G,1.9,20.2
1985,11,13.7,G,1.78,13.7
1985,12,29.6,G,6.34,29.6
1986,1,14.1,G,2.6,14.1
1986,2,0.4,G,0.02,0.4
1986,3,31.3,G,3.3,31.3
1986,4,6.0,G,0.72,6.0
1986,5,15.7,G,2.19,15.7
1986,6,3.8,G,0.26,3.8
1986,7,35.0,G,2.16,35.0
1986,8,22.0,G,4.09,22.0
1986,9,5.2,G,0.79,5.2
1986,10,23.5,G,3.26,23.5
1986,11,17.2,G,4.6,17.2
1986,12,15.6,G,2.81,15.6
1987,1,6.8,G,0.61,6.8
1987,2,18.2,G,1.98,18.2
1987,3,11.2,G,1.63,11.2
1987,4,20.3,G,1.19,20.3
1987,5,17.7,G,1.78,17.7
1987,6,43.9,G,5.09,43.9
1987,7,23.4,G,3.25,23.4
1987,8,38.3,G,4.22,38.3
1987,9,24.2,G,2.3,24.2
1987,10,23.4,G,2.44,23.4
1987,11,22.7,G,2.62,22.7
1987,12,12.3,G,1.71,12.3
1988,1,25.3,G,4.73,25.3
1988,2,15.2,G,4.41,15.2
1988,3,13.2,G,2.23,13.2
1988,4,13.7,G,1.36,13.7
1988,5,8.2,G,0.84,8.2
1988,6,4.5,G,0.46,4.5
1988,7,28.6,G,4.91,28.6
1988,8,10.0,G,1.75,10.0
1988,9,28.2,G,3.58,28.2
1988,10,19.4,G,2.84,19.4
1988,11,32.5,G,1.83,32.5
1988,12,15.5,G,1.64,15.5
1989,1,6.9,G,0.8,6.9
1989,2,15.9,G,3.31,15.9
1989,3,19.4,G,3.14,19.4
1989,4,12.6,G,1.24,12.6
1989,5,11.4,G,1.02,11.4
1989,6,6.8,G,0.88,6.8
1989,7,12.0,G,1.75,12.0
1989,8,18.8,G,2.42,18.8
1989,9,7.2,G,0.89,7.2
1989,10,21.9,G,3.03,21.9
1989,11,7.5,G,0.77,7.5
1989,12,20.5,G,2.01,20.5
1990,1,16.8,G,4.18,16.8
1990,2,15.5,G,3.3,15.5
1990,3,10.6,G,1.07,10.6
1990,4,16.2,G,2.23,16.2
1990,5,29.5,G,2.91,29.5
1990,6,27.0,G,3.48,27.0
1990,7,15.5,G,1.99,15.5
1990,8,10.4,G,1.78,10.4
1990,9,23.0,G,3.23,23.0
1990,10,23.3,G,2.55,23.3
1990,11,15.2,G,1.49,15.2
1990,12,19.5,G,4.16,19.5
1991,1,20.4,G,2.57,20.4
1991,2,10.7,G,1.28,10.7
1991,3,24.3,G,1.65,24.3
1991,4,9.2,G,0.99,9.2
1991,5,14.0,G,1.21,14.0
1991,6,23.6,G,3.82,23.6
1991,7,6.2,G,0.36,6.2
1991,8,10.1,G,1.9,10.1
1991,9,13.1,G,2.09,13.1
1991,10,16.3,G,2.41,16.3
1991,11,21.3,G,4.69,21.3
1991,12,17.1,G,1.75,17.1
1992,1,16.4,G,2.25,16.4
1992,2,11.7,G,1.79,11.7
1992,3,19.8,G,2.57,19.8
1992,4,21.2,G,2.96,21.2
1992,5,14.4,G,0.83,14.4
1992,6,3.1,G,0.12,3.1
1992,7,21.2,G,2.05,21.2
1992,8,25.5,G,5.26,25.5
1992,9,15.3,G,1.86,15.3
1992,10,19.8,G,2.82,19.8
1992,11,32.6,G,4.61,32.6
1992,12,12.0,G,2.06,12.0
1993,1,16.3,G,4.08,16.3
1993,2,14.4,G,1.16,14.4
1993,3,8.7,G,0.58,8.7
1993,4,8.2,G,0.83,8.2
1993,5,15.7,G,2.11,15.7
1993,6,6.6,G,1.26,6.6
1993,7,28.7,G,4.8,28.7
1993,8,22.5,G,3.06,22.5
1993,9,11.3,G,1.65,11.3
1993,10,28.1,G,2.33,28.1
1993,11,14.8,G,1.51,14.8
1993,12,12.3,G,4.12,12.3
1994,1,15.6,G,3.04,15.6
1994,2,21.4,G,2.01,21.4
1994,3,17.2,G,2.66,17.2
1994,4,11.2,G,1.42,11.2
1994,5,2.6,G,0.21,2.6
1994,6,27.0,G,2.95,27.0
1994,7,7.2,G,0.26,7.2
1994,8,17.5,G,2.93,17.5
1994,9,45.0,G,6.99,45.0
1994,10,26.9,G,2.49,26.9
1994,11,18.8,G,2.05,18.8
1994,12,14.0,G,4.42,14.0
1995,1,28.5,G,4.0,28.5
1995,2,16.7,G,3.33,16.7
1995,3,19.2,G,2.88,19.2
1995,4,10.9,G,1.62,10.9
1995,5,14.4,G,1.69,14.4
1995,6,12.1,G,2.4,12.1
1995,7,52.0,G,2.29,52.0
1995,8,5.0,G,0.35,5.0
1995,9,33.1,G,4.42,33.1
1995,10,27.5,G,2.72,27.5
1995,11,22.7,G,2.15,22.7
1995,12,4.8,G,0.61,4.8
1996,1,6.5,G,0.48,6.5
1996,2,11.3,G,1.28,11.3
1996,3,8.0,G,0.75,8.0
1996,4,13.8,G,0.79,13.8
1996,5,24.2,G,3.88,24.2
1996,6,17.0,G,1.76,17.0
1996,7,10.2,G,0.88,10.2
1996,8,29.4,G,2.31,29.4
1996,9,27.2,G,2.34,27.2
1996,10,18.1,G,2.56,18.1
1996,11,18.7,G,3.4,18.7
1996,12,28.6,G,1.65,28.6
1997,1,11.5,G,1.15,11.5
1997,2,34.6,G,5.93,34.6
1997,3,10.9,G,1.16,10.9
1997,4,14.8,G,1.6,14.8
1997,5,19.4,G,2.43,19.4
1997,6,29.2,G,2.65,29.2
1997,7,52.9,G,2.66,52.9
1997,8,34.6,G,2.93,34.6
1997,9,13.9,G,2.13,13.9
1997,10,16.5,G,2.25,16.5
1997,11,8.6,G,1.11,8.6
1997,12,14.7,G,3.32,14.7
1998,1,16.9,G,2.46,16.9
1998,2,12.2,G,2.54,12.2
1998,3,17.8,G,1.15,17.8
1998,4,18.9,G,3.11,18.9
1998,5,12.7,G,1.0,12.7
1998,6,22.6,G,3.98,22.6
1998,7,44.0,G,3.34,44.0
1998,8,24.5,G,3.77,24.5
1998,9,24.1,G,2.31,24.1
1998,10,27.5,G,5.61,27.5
1998,11,9.9,G,0.94,9.9
1998,12,21.5,G,2.69,21.5
1999,1,18.0,G,3.67,18.0
1999,2,15.0,G,1.8,15.0
1999,3,12.2,G,3.27,12.2
1999,4,33.3,G,2.78,33.3
1999,5,11.6,G,2.26,11.6
1999,6,28.0,G,5.35,28.0
1999,7,10.2,G,1.27,10.2
1999,8,13.8,G,1.85,13.8
1999,9,10.7,G,1.93,10.7
1999,10,37.8,G,3.37,37.8
1999,11,8.0,G,0.84,8.0
1999,12,24.5,G,5.37,24.5
2000,1,17.8,G,2.57,17.8
2000,2,27.0,G,4.31,27.0
2000,3,8.1,G,1.18,8.1
2000,4,19.3,G,2.71,19.3
2000,5,29.1,G,2.86,29.1
2000,6,13.0,G,2.1,13.0
2000,7,18.2,G,2.23,18.2
2000,8,12.4,G,2.04,12.4
2000,9,11.7,G,0.84,11.7
2000,10,37.3,G,5.5,37.3
2000,11,25.5,G,5.84,25.5
2000,12,17.8,G,4.2,17.8
2001,1,12.3,G,1.64,12.3
2001,2,17.3,G,1.89,17.3
2001,3,12.3,G,1.73,12.3
2001,4,23.2,G,2.64,23.2
2001,5,7.7,G,0.86,7.7
2001,6,26.0,G,2.09,26.0
2001,7,21.9,G,1.98,21.9
2001,8,15.2,G,2.93,15.2
2001,9,18.8,G,2.69,18.8
2001,10,27.1,G,2.4,27.1
2001,11,15.0,G,1.46,15.0
2001,12,9.3,G,1.36,9.3
2002,1,19.3,G,4.98,19.3
2002,2,24.6,G,3.49,24.6
2002,3,8.6,G,1.54,8.6
2002,4,14.4,G,0.92,14.4
2002,5,12.6,G,2.21,12.6
2002,6,19.8,G,3.12,19.8
2002,7,23.0,G,3.25,23.0
2002,8,8.6,G,0.94,8.6
2002,9,5.1,G,0.34,5.1
2002,10,12.2,G,2.58,12.2
2002,11,18.3,G,2.92,18.3
